date,open,low,high,close,volume,ticker,hl2,rsi,sma_50,diff_sma50,sma_100,diff_sma100,sma_200,diff_sma200,bb_lower,bb_upper,diff_upper_bb,diff_lower_bb,local,local_text
2016-12-19,50.0,50.0,50.0,50.0,20,CKPT,50.0,,,,,,,,,,,,,
2016-12-20,80.0,80.0,150.0,80.0,20,CKPT,115.0,,,,,,,,,,,,,
2016-12-21,80.0,80.0,80.0,80.0,0,CKPT,80.0,,,,,,,,,,,,,
2016-12-22,80.0,80.0,80.0,80.0,0,CKPT,80.0,,,,,,,,,,,,,
2016-12-23,80.0,80.0,80.0,80.0,0,CKPT,80.0,,,,,,,,50.0,98.0,22.500000000000007,-37.5,,
2016-12-27,80.0,80.0,80.0,80.0,0,CKPT,80.0,,,,,,,,80.0,80.0,0.0,0.0,,
2016-12-28,80.0,80.0,80.0,80.0,0,CKPT,80.0,,,,,,,,80.0,80.0,0.0,0.0,,
2016-12-29,80.0,80.0,80.0,80.0,0,CKPT,80.0,,,,,,,,80.0,80.0,0.0,0.0,,
2016-12-30,80.0,80.0,80.0,80.0,0,CKPT,80.0,,,,,,,,80.0,80.0,0.0,0.0,,
2017-01-03,80.0,80.0,80.0,80.0,0,CKPT,80.0,,,,,,,,80.0,80.0,0.0,0.0,,
2017-01-04,135.0,135.0,135.0,135.0,10,CKPT,135.0,,,,,,,,47.0,135.0,0.0,-65.18518518518519,,
2017-01-05,135.0,135.0,135.0,135.0,0,CKPT,135.0,,,,,,,,48.11122565877008,155.88877434122992,15.473166178688835,-64.36205506757771,,
2017-01-06,135.0,135.0,135.0,135.0,80,CKPT,135.0,,,,,,,,59.11122565877008,166.88877434122992,23.621314326836984,-56.21390691942957,,
2017-01-09,135.0,135.0,135.0,135.0,0,CKPT,135.0,,,,,,,,80.0,168.0,24.444444444444446,-40.74074074074075,,
2017-01-10,135.0,135.0,135.0,135.0,0,CKPT,135.0,100.0,,,,,,,135.0,135.0,0.0,0.0,,
2017-01-11,140.0,140.0,150.0,150.0,110,CKPT,145.0,100.0,,,,,,,126.0,150.0,0.0,-16.000000000000004,,
2017-01-12,150.0,150.0,150.0,150.0,0,CKPT,150.0,100.0,,,,,,,126.30306154330093,155.69693845669906,3.797958971132709,-15.797958971132719,,
