date,open,low,high,close,volume,ticker,hl2,rsi,sma_50,diff_sma50,sma_100,diff_sma100,sma_200,diff_sma200,bb_lower,bb_upper,diff_upper_bb,diff_lower_bb,local,local_text
2014-01-17,252.0,246.75,267.75,257.25,1482,EKSO,257.25,,,,,,,,,,,,,
2014-01-21,266.70001220703125,266.70001220703125,286.6499938964844,278.25,1698,EKSO,276.6750030517578,,,,,,,,,,,,,
2014-01-22,288.75,262.5,288.75,278.25,762,EKSO,275.625,,,,,,,,,,,,,
2014-01-23,267.75,248.85000610351562,278.25,248.85000610351562,589,EKSO,263.5500030517578,,,,,,,,,,,,,
2014-01-24,250.4250030517578,249.375,278.25,266.70001220703125,216,EKSO,263.8125,,,,,,,,242.687574995846,289.03243232837275,8.373610460881986,-9.003538099782727,,
2014-01-27,273.0,267.75,283.5,273.0,248,EKSO,275.625,,,,,,,,247.12966184558587,290.8903454786329,6.553240102063351,-9.476314342276238,,
2014-01-28,273.0,257.25,273.0,262.5,190,EKSO,265.125,,,,,,,,245.7438049582522,285.9762023659665,8.943315187034862,-6.3833123968563,,
2014-01-29,277.20001220703125,259.3500061035156,277.20001220703125,273.0,28,EKSO,268.27500915527344,,,,,,,,246.9711281074455,282.6488792167732,3.534387991492016,-9.534385308628025,,
2014-01-30,273.0,256.20001220703125,276.1499938964844,256.20001220703125,562,EKSO,266.1750030517578,,,,,,,,253.43048305014227,279.1295267154827,8.949849108485797,-1.0810027419713597,,
2014-01-31,257.25,252.0,288.75,257.25,187,EKSO,270.375,,,,,,,,249.69600910946417,279.0839957733483,8.487461913838024,-2.936439607594099,,
2014-02-03,267.75,237.3000030517578,267.75,246.75,420,EKSO,252.5250015258789,,,,,,,,241.95589517398554,276.32410970882694,11.985454795877182,-1.942899625537775,minimum,$237.3
2014-02-04,241.5,241.5,252.0,252.0,110,EKSO,246.75,,,,,,,,239.45007397100466,274.6299309118079,8.980131314209473,-4.9801293765854515,,
2014-02-05,252.0,240.4499969482422,262.5,262.5,115,EKSO,251.4749984741211,,,,,,,,244.36467149578232,265.5153333870302,1.1486984331543493,-6.908696573035311,,
2014-02-06,262.5,241.5,320.25,308.70001220703125,1570,EKSO,280.875,,,,,,,,220.92395539180885,309.9560494910037,0.40687957055540735,-28.434095673554737,,
2014-02-07,315.0,315.0,357.0,333.8999938964844,495,EKSO,336.0,74.29773676780975,,,,,,,211.94123959694372,349.59876284446256,4.70163798590697,-36.52553355162692,,
2014-02-10,341.25,273.0,341.25,315.0,606,EKSO,307.125,65.17855817466224,,,,,,,231.14619705689836,357.69380538450787,13.55358901095487,-26.62025490257195,,
2014-02-11,336.0,309.75,336.0,312.8999938964844,319,EKSO,322.875,64.23515680682462,,,,,,,259.23115250620083,353.9688474937992,13.125233109113289,-17.152074923989492,,
2014-02-12,336.0,289.79998779296875,336.0,315.0,911,EKSO,312.8999938964844,64.78408484554316,,,,,,,299.68139750465605,334.518602495344,6.196381744553658,-4.863048411220305,,
2014-02-13,315.0,299.25,320.25,315.0,252,EKSO,309.75,64.78408484554316,,,,,,,302.73509750891236,333.98489760827516,6.026951621674659,-3.8936198384405207,,
2014-02-14,315.0,294.0,366.45001220703125,299.25,650,EKSO,330.2250061035156,57.153911333299966,,,,,,,299.14185873921946,323.71813881937425,8.176487491854378,-0.036137430503102586,,
2014-02-18,341.25,299.25,341.25,315.0,1330,EKSO,320.25,61.976723096387026,,,,,,,299.14185873921946,323.71813881937425,2.767663117261665,-5.034330558977951,,
2014-02-19,316.04998779296875,316.04998779296875,357.0,346.5,1416,EKSO,336.5249938964844,69.39628080083547,,,,,,,287.28642924093197,349.013570759068,0.7254172464842723,-17.08905361012064,,
2014-02-20,355.95001220703125,351.75,435.75,400.04998779296875,3950,EKSO,393.75,77.4515310735184,,,,,,,263.37317193844757,406.94682317874,1.7239933998799195,-34.164934389462665,,
2014-02-21,409.5,404.25,565.9500122070312,544.9500122070312,6874,EKSO,485.1000061035156,87.23916463235534,,,,,,,203.4497838209577,558.8502161790423,2.5507300964570323,-62.66634016632238,,
2014-02-24,650.4749755859375,598.5,863.0999755859375,803.25,14359,EKSO,730.7999877929688,93.03941685568714,,,,,,,124.0345814580233,839.8654185419766,4.558408782069923,-84.55840878206993,maximum,🚀🌌3.64x<br>$863.1
2014-02-25,771.75,616.3499755859375,771.75,625.7999877929688,9254,EKSO,694.0499877929688,69.62556616743103,,,,,,,217.14761618334944,871.072378933838,39.19341577584239,-65.30079571443078,,
2014-02-26,676.2000122070312,627.9000244140625,706.6500244140625,672.0,2546,EKSO,667.2750244140625,71.62751933499354,,,,,,,341.2598676723497,877.1601274448378,30.529780869767542,-49.21728159637654,,
2014-02-27,698.25,682.5,729.75,682.5,1873,EKSO,706.125,72.07794690253685,,,,,,,497.38005934857665,834.0199406514234,22.200723904970477,-27.123800828047372,,
2014-02-28,684.5999755859375,614.25,684.5999755859375,630.0,2876,EKSO,649.4249877929688,66.40169684437247,,,,,,,554.143335038625,811.2766600785625,28.77407302834325,-12.04074047005953,,
2014-03-03,615.2999877929688,367.5,617.4000244140625,557.5499877929688,2364,EKSO,492.45001220703125,59.4444950961598,,,,,,,545.3739859301297,721.7660043042454,29.453146822102315,-2.1838403962731845,,
2014-03-04,582.75,540.75,582.75,540.75,936,EKSO,561.75,57.92882281042155,,,,,,,500.5198374736509,732.6001576435366,35.478531233201394,-7.439697184715499,,
2014-03-05,548.0999755859375,540.75,579.5999755859375,567.0,1874,EKSO,560.1749877929688,59.659591322560985,,,,,,,489.69499700419465,701.4249981129929,23.708112541974046,-13.634039329066194,,
2014-03-06,577.5,573.2999877929688,623.7000122070312,605.8499755859375,1817,EKSO,598.5,62.14191864429721,,,,,,,514.6158338212482,645.8441515303142,6.601333260052877,-15.058866954059669,,
2014-03-07,605.3250122070312,542.8499755859375,605.8499755859375,567.0,1570,EKSO,574.3499755859375,58.279834372420346,,,,,,,524.8683146929584,610.3916706586042,7.652851968007801,-7.4306323292842364,,
2014-03-10,567.0,530.25,577.5,543.9000244140625,1100,EKSO,553.875,56.04928115625681,,,,,,,518.3387115719604,611.4612884280396,12.421632833489959,-4.699634435508438,,
2014-03-11,535.5,493.5,543.9000244140625,509.25,2032,EKSO,518.7000122070312,52.785750559263676,,,,,,,495.19531894190237,622.0046810580977,22.14132175907664,-2.7598784601075343,,
2014-03-12,509.25,452.54998779296875,509.25,476.70001220703125,1953,EKSO,480.8999938964844,49.84938951235751,,,,,,,450.95686824079803,630.1231366420145,32.18441797906888,-5.400281792955552,,
2014-03-13,475.6499938964844,465.1499938964844,496.6499938964844,472.5,1300,EKSO,480.8999938964844,49.46701156872272,,,,,,,439.9022924273077,587.8377222211296,24.410099940979823,-6.898985729670326,,
2014-03-14,465.1499938964844,464.1000061035156,476.70001220703125,464.1000061035156,486,EKSO,470.40000915527344,48.66303155782711,,,,,,,434.1251290312152,552.4548880586286,19.037897175852603,-6.458710768819653,,
2014-03-17,477.75,462.0,497.70001220703125,467.25,1002,EKSO,479.8500061035156,48.997791883047945,,,,,,,445.4975108428702,510.42249648134856,9.239699621476415,-4.655428391039019,,
2014-03-18,473.54998779296875,472.5,525.0,522.9000244140625,3548,EKSO,498.75,54.62693406836757,,,,,,,437.60364168848974,523.776375401354,0.16759436725470866,-16.312177996386968,,
2014-03-19,530.25,451.5,530.25,467.25,1786,EKSO,490.875,48.82371763433125,,,,,,,434.3712138725544,523.2287983344768,11.98048118447872,-7.036658347232871,,
2014-03-20,468.29998779296875,425.25,468.29998779296875,446.25,1671,EKSO,446.7749938964844,46.803139956663856,,,,,,,421.78594680123933,525.3140654057919,17.717437625947774,-5.482140772831523,,
2014-03-21,446.25,395.8500061035156,446.25,408.45001220703125,1944,EKSO,421.0500030517578,43.3272732634335,,,,,,,388.23796294420174,536.6020517042358,31.375207655091963,-4.948475617276915,,
2014-03-24,414.75,349.6499938964844,420.0,374.8500061035156,2285,EKSO,384.8249969482422,40.45149696681011,,,,,,,342.68253812172674,545.197478968117,45.44416969211935,-8.581423891695438,,
2014-03-25,369.6000061035156,341.25,374.8500061035156,361.20001220703125,1377,EKSO,358.0500030517578,39.310000490922114,,,,,,,330.61512729756225,492.584884909469,36.37454824534476,-8.46757582387303,,
2014-03-26,343.3500061035156,342.29998779296875,392.70001220703125,343.3500061035156,2332,EKSO,367.5,37.807520262133366,,,,,,,313.66763360562953,459.97238104280797,33.966032580798085,-8.644931402429402,,
2014-03-27,343.3500061035156,315.0,358.04998779296875,346.5,2532,EKSO,336.5249938964844,38.25601402305333,,,,,,,319.6018050143207,414.13820963411683,19.52040682081293,-7.762826835693881,,
2014-03-28,367.5,336.0,383.25,346.5,1153,EKSO,359.625,38.25601402305333,,,,,,,330.6248875809744,378.33512218465063,9.187625450115622,-4.58156202569281,,
2014-03-31,357.0,325.5,357.0,334.95001220703125,1240,EKSO,341.25,37.11775420821818,407.127001953125,-17.7283720804163,,,,,329.54323663637257,363.45677557065864,8.51075155238612,-1.6142037240221896,,
2014-04-01,326.0249938964844,322.3500061035156,355.95001220703125,340.20001220703125,1677,EKSO,339.15000915527344,38.02047283963322,408.78600219726565,-16.777969309511054,,,,,333.59071074259754,351.0093014644337,3.177333588931308,-1.9427693201879093,,
