date,open,low,high,close,volume,ticker,hl2,rsi,sma_50,diff_sma50,sma_100,diff_sma100,sma_200,diff_sma200,bb_lower,bb_upper,diff_upper_bb,diff_lower_bb,local,local_text
2019-10-03,560.0,558.5,692.0,685.0,36944,KRRO,625.25,,,,,,,,,,,,,
2019-10-04,675.0,648.0,690.0,674.5,9144,KRRO,669.0,,,,,,,,,,,,,
2019-10-07,672.0,658.5,705.0,700.0,5394,KRRO,681.75,,,,,,,,,,,,,
2019-10-08,700.0,680.0,714.0,687.0,3416,KRRO,697.0,,,,,,,,,,,,,
2019-10-09,688.0,650.5,699.5,665.0,2380,KRRO,675.0,,,,,,,,658.5883994635536,706.0116005364463,6.167157975405457,-0.9641504566084813,,
2019-10-10,665.5,605.0,687.9000244140625,633.5,3352,KRRO,646.4500122070312,,,,,,,,626.8646480018157,717.1353519981843,13.20210765559342,-1.047411522996733,,
2019-10-11,642.0,626.75,658.1500244140625,649.5,5418,KRRO,642.4500122070312,,,,,,,,618.6554036111584,715.3445963888416,10.137736164563771,-4.748975579498326,,
2019-10-14,649.0,630.0,701.5999755859375,667.5,1118,KRRO,665.7999877929688,,,,,,,,624.4833371895729,696.5166628104271,4.347065589577093,-6.444443866730653,,
2019-10-15,685.0,648.5,728.0,649.0,950,KRRO,688.25,,,,,,,,628.1985830365949,677.6014169634051,4.406997991279682,-3.205148992820517,,
2019-10-16,650.0,639.5,690.0,656.0,2482,KRRO,664.75,,,,,,,,629.014710778439,673.185289221561,2.61970872279893,-4.113611161823316,,
2019-10-17,650.5,642.5,699.0,650.0,802,KRRO,670.75,,,,,,,,640.3515125369313,668.4484874630687,2.8382288404721123,-1.4843826866259513,,
2019-10-18,653.5,640.0,682.5,655.0,1864,KRRO,661.25,,,,,,,,642.3242647263996,668.6757352736004,2.087898515053488,-1.9352267593283012,,
2019-10-21,667.0,655.0,699.5,663.5,3800,KRRO,677.25,,,,,,,,644.3539862748981,665.046013725102,0.23300885080661526,-2.885608700090714,,
2019-10-22,665.0,664.2000122070312,699.0,686.5,950,KRRO,681.6000061035156,,,,,,,,636.4116305284729,687.9883694715272,0.21680545834337206,-7.296193659363015,,
2019-10-23,692.5,691.0,707.5,697.5,288,KRRO,699.25,59.83551902809516,,,,,,,633.6815263760161,707.3184736239839,1.407666469388369,-9.149601953259335,,
2019-10-24,706.5,688.0,742.0,702.5,1118,KRRO,715.0,61.41786058455011,,,,,,,643.615511237948,718.384488762052,2.261137190327678,-8.382133631608824,,
2019-10-25,710.5,693.0,712.5,702.5,1576,KRRO,702.75,61.41786058455011,,,,,,,661.0789191225068,719.9210808774932,2.479869164055959,-5.896239270817539,,
2019-10-28,712.5,700.0,734.75,713.5,3922,KRRO,717.375,64.94188334108489,,,,,,,683.0185812932704,717.9814187067296,0.6280895174113121,-4.272097926661478,,
2019-10-29,720.0,706.0,727.75,717.0,1206,KRRO,716.875,66.00582293915765,,,,,,,691.8433066034428,721.3566933965573,0.607628088780654,-3.5086043788782773,,
2019-10-30,726.5,680.0,737.5,690.0,2942,KRRO,708.75,52.715216723559706,,,,,,,686.0484908734244,724.1515091265757,4.949494076315308,-0.5726824821124077,,
2019-10-31,695.5,682.5,723.25,720.0,2510,KRRO,702.875,61.89592415119642,,,,,,,686.550963739882,730.649036260118,1.47903281390529,-4.645699480571941,,
2019-11-01,717.5,707.4500122070312,804.5499877929688,778.75,1874,KRRO,756.0,72.96574242694506,,,,,,,665.0030799446565,782.6969200553435,0.5068276154534201,-14.606346074522436,,
2019-11-04,791.0,778.5,821.0,795.5,1730,KRRO,799.75,75.17969258014112,,,,,,,660.1975172152669,820.3024827847331,3.11784824446677,-17.008483065334147,,
